company_name,email,url,icp_score,score_reasons
東京・神奈川・千葉の不動産売買・賃貸,honsha@royalhousing.co.jp,https://www.royal-h.jp/,50,+30: ターゲットキーワード一致 / +20: 法人ドメイン (royalhousing.co.jp)
さいたま市で賃貸物件を探すなら株式会社アーユー不動産,info@areyou.co.jp,https://www.areyou.co.jp/,70,+30: ターゲットキーワード一致 / +20: 法人ドメイン (areyou.co.jp) / +20: 法人登記あり
横浜市中区の賃貸・売買なら株式会社東洋不動産,toyo@toyo2103.co.jp,https://www.toyo2103.co.jp/,70,+30: ターゲットキーワード一致 / +20: 法人ドメイン (toyo2103.co.jp) / +20: 法人登記あり
名古屋市南区の不動産情報のことなら株式会社ファーストホーム,info-f@first-hm.com,https://www.first-hm.com/,50,+30: ターゲットキーワード一致 / +20: 法人登記あり
静岡市の賃貸・売買なら株式会社タウンホーム,info@town-home.net,https://www.town-home.net/,50,+30: ターゲットキーワード一致 / +20: 法人登記あり
静岡の不動産はオオハタへ,info@oohatafudousan.co.jp,https://www.oohatafudousan.co.jp/,50,+30: ターゲットキーワード一致 / +20: 法人ドメイン (oohatafudousan.co.jp)
福岡でのお部屋探しは『えいしん不動産』へ！,kanri-e@eishin-f.co.jp,https://www.eishin-f.co.jp/,50,+30: ターゲットキーワード一致 / +20: 法人ドメイン (eishin-f.co.jp)
北九州の不動産,info@re-hirota.co.jp,https://corporate.re-hirota.co.jp/,50,+30: ターゲットキーワード一致 / +20: 法人ドメイン (re-hirota.co.jp)
広島の賃貸・売買・管理はイエヤス不動産,cogo@ieyasu-re.co.jp,https://www.ieyasu-re.co.jp/,50,+30: ターゲットキーワード一致 / +20: 法人ドメイン (ieyasu-re.co.jp)
富山市の不動産【ViVi（ヴィヴィ）不動産】,info@vivi-f.jp,https://vivi-f.jp/,50,+30: ターゲットキーワード一致 / +20: 法人ドメイン (vivi-f.jp)
