company_name,email,url,icp_score,score_reasons
ライジングトラストグループ,info@mail.jp,https://www.rising-trust.co.jp/,0,-100: placeholderドメイン（送信禁止）
ホーム,info@tokyo-apartments.jp,https://tokyo-apartments.jp/,20,+20: 法人ドメイン (tokyo-apartments.jp)
【不動産開業支援】兵庫県宅地建物取引業協会,htk@htk.or.jp,https://www.htk.or.jp/,0,+30: ターゲットキーワード一致 / +20: 法人ドメイン (htk.or.jp) / -50: 除外キーワード「協会」
株式会社名古屋第一不動産,info@sample.co.jp,https://nagoyadaiichi.co.jp/,0,-100: placeholderドメイン（送信禁止）
あららぎ不動産,mail@sample.jp,https://www.araragi.com/,0,-100: placeholderドメイン（送信禁止）
山一地所,forbiz@yamaichi-j.jp,https://yamaichi-j.co.jp/,20,+20: 法人ドメイン (yamaichi-j.jp)
株式会社仙台貸家センター,info@sendai-kashiya.com,https://sendai-kashiya.com/,20,+20: 法人登記あり
中途採用・新卒採用 求人情報 | リビン・テクノロジーズ株式会社,privacypolicy@lvn.co.jp,https://recruit.lvn.co.jp/,0,+20: 法人ドメイン (lvn.co.jp) / +20: 法人登記あり / -50: 除外キーワード「求人」
faxdm屋ドットコム,info@faxdmya.com,https://www.faxdmya.com/,0,
アパート経営・不動産売却・不動産管理の一括比較情報サイト【イエカレ】,info@eqs.jp,https://plus-search.com/,0,+30: ターゲットキーワード一致 / +20: 法人ドメイン (eqs.jp) / -50: 除外キーワード「比較」
